// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2011-06-10
// This file contains "minute numbers" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "1" is "01"
// FORMAT: "minute-number","normalized-minute-number"
// minute numbers
"Acht","08"
"Neun","09"
"Zehn","10"
"Elf","11"
"Zwölf","12"
"Drei[\–\-\–\-\–]?zehn","13"
"Vier[\–\-\–\-\–]?zehn","14"
"Fünf[\–\-\–\-\–]?zehn","15"
"Sech[\–\-\–\-\–]?zehn","16"
"Sieb[\–\-\–\-\–]?zehn","17"
"Acht[\–\-\–\-\–]?zehn","18"
"Neun[\–\-\–\-\–]?zehn","19"
"Zwan[\–\-\–\-\–]?zig","20"
"Ein[\–\-\–\-\–]?und[\–\-\–\-\–]?zwna[\–\-\–\-\–]?zig","21"
"Zwei[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","22"
"Drei[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","23"
"Vier[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","24"
"Fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","25"
"Sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","26"
"Sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","27"
"Acht[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","28"
"Neun[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","29"
"Drei[\–\-\–\-\–]?ßig","30"
"Ein[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","31"
"Zei[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","32"
"Drei[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","33"
"Vier[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","34"
"Fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","35"
"Sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","36"
"Sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","37"
"Acht[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","38"
"Neun[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","39"
"Vier[\–\-\–\-\–]?zig","40"
"Ein[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","41"
"Zwei[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","42"
"Drei[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","43"
"Vier[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","44"
"Fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","45"
"Sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","46"
"Sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","47"
"Acht[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","48"
"Neun[\–\-\–\-\–]?und[\–\-\–\-\–]?vier[\–\-\–\-\–]?zig","49"
"Fünf[\–\-\–\-\–]?zig","50"
"Ein[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","51"
"Zwei[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","52"
"Drei[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","53"
"Vier[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","54"
"Fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","55"
"Sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","56"
"Sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","57"
"Acht[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","58"
"Neun[\–\-\–\-\–]?und[\–\-\–\-\–]?fünf[\–\-\–\-\–]?zig","59"
"Sech[\–\-\–\-\–]?zig","60"
