// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2013-04-26
// This file contains "day words" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "erster" is "01"
// FORMAT: "day-word","normalized-day-word"
"vier[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","24"
"fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","25"
"sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","26"
"sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","27"
"acht[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","28"
"neun[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","29"
"drei[\–\-\–\-\–]?ßig","30"
"ein[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","31"
"Eins","01"
"Zwei","02"
"Drei","03"
"Vier","04"
"Fünf","05"
"Sechs","06"
"Sie[\–\-\–\-\–]?ben","07"
"Acht","08"
"Neun","09"
"Zehn","10"
"Elf","11"
"Zwölf","12"
"Drei[\–\-\–\-\–]?zehn","13"
"Vier[\–\-\–\-\–]?zehn","14"
"Fünf[\–\-\–\-\–]?zehn","15"
"Sech[\–\-\–\-\–]?zehn","16"
"Sieb[\–\-\–\-\–]?zehn","17"
"Acht[\–\-\–\-\–]?zehn","18"
"Neun[\–\-\–\-\–]?zehn","19"
"Zwan[\–\-\–\-\–]?zig","20"
"Ein[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","21"
"Zwei[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","22"
"Drei[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","23"
"Vier[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","24"
"Fünf[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","25"
"Sechs[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","26"
"Sie[\–\-\–\-\–]?ben[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","27"
"Acht[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","28"
"Neun[\–\-\–\-\–]?und[\–\-\–\-\–]?zwan[\–\-\–\-\–]?zig","29"
"Drei[\–\-\–\-\–]?ßig","30"
"Ein[\–\-\–\-\–]?und[\–\-\–\-\–]?drei[\–\-\–\-\–]?ßig","31"
